1,bc:e6:3f:c7:62:75,00:00:00:00:00:00,10.251.25.112,10.251.25.1,ff:ff:ff:ff:ff:ff,bc:e6:3f:c7:62:75,1460739690.81
1,28:27:bf:e0:c7:f8,00:00:00:00:00:00,10.251.25.69,10.251.25.1,ff:ff:ff:ff:ff:ff,28:27:bf:e0:c7:f8,1460739699.76
1,ec:9b:f3:64:39:8f,00:00:00:00:00:00,10.251.25.116,10.251.25.1,ff:ff:ff:ff:ff:ff,ec:9b:f3:64:39:8f,1460739703.11
1,0c:8b:fd:c0:e6:03,ac:f2:c5:bd:b8:28,10.251.25.93,10.251.25.1,ac:f2:c5:bd:b8:28,0c:8b:fd:c0:e6:03,1460739711.28
2,ac:f2:c5:bd:b8:28,0c:8b:fd:c0:e6:03,10.251.25.1,10.251.25.93,0c:8b:fd:c0:e6:03,ac:f2:c5:bd:b8:28,1460739711.3
1,44:80:eb:dc:7a:24,00:00:00:00:00:00,10.251.25.119,10.251.25.1,ff:ff:ff:ff:ff:ff,44:80:eb:dc:7a:24,1460739715.79
1,f4:f1:e1:8e:ef:52,00:00:00:00:00:00,10.251.25.121,10.251.25.1,ff:ff:ff:ff:ff:ff,f4:f1:e1:8e:ef:52,1460739762.37
1,d0:87:e2:fb:6a:7f,00:00:00:00:00:00,10.251.25.122,10.251.25.1,ff:ff:ff:ff:ff:ff,d0:87:e2:fb:6a:7f,1460739810.64
1,0c:8b:fd:c0:e6:03,ac:f2:c5:bd:b8:28,10.251.25.93,10.251.25.1,ac:f2:c5:bd:b8:28,0c:8b:fd:c0:e6:03,1460739814.77
2,ac:f2:c5:bd:b8:28,0c:8b:fd:c0:e6:03,10.251.25.1,10.251.25.93,0c:8b:fd:c0:e6:03,ac:f2:c5:bd:b8:28,1460739814.8
1,0c:8b:fd:c0:e6:03,ac:f2:c5:bd:b8:28,10.251.25.93,10.251.25.1,ac:f2:c5:bd:b8:28,0c:8b:fd:c0:e6:03,1460739847.3
2,ac:f2:c5:bd:b8:28,0c:8b:fd:c0:e6:03,10.251.25.1,10.251.25.93,0c:8b:fd:c0:e6:03,ac:f2:c5:bd:b8:28,1460739847.32
1,e4:90:7e:25:44:0f,00:00:00:00:00:00,10.251.25.123,10.251.25.1,ff:ff:ff:ff:ff:ff,e4:90:7e:25:44:0f,1460739855.16
1,e8:50:8b:cd:06:81,00:00:00:00:00:00,10.251.25.126,10.251.25.1,ff:ff:ff:ff:ff:ff,e8:50:8b:cd:06:81,1460739881.88
1,34:4d:f7:16:a3:7d,00:00:00:00:00:00,10.251.25.127,10.251.25.1,ff:ff:ff:ff:ff:ff,34:4d:f7:16:a3:7d,1460739882.54
1,e8:50:8b:b2:34:25,00:00:00:00:00:00,10.251.25.128,10.251.25.1,ff:ff:ff:ff:ff:ff,e8:50:8b:b2:34:25,1460739902.98
1,e4:40:e2:68:3c:3c,00:00:00:00:00:00,10.251.25.129,10.251.25.1,ff:ff:ff:ff:ff:ff,e4:40:e2:68:3c:3c,1460739918.5
1,3c:a1:0d:22:5d:68,00:00:00:00:00:00,10.251.25.98,10.251.25.1,ff:ff:ff:ff:ff:ff,3c:a1:0d:22:5d:68,1460739929.35
1,0c:8b:fd:c0:e6:03,00:00:00:00:00:00,10.251.25.93,10.251.25.1,ff:ff:ff:ff:ff:ff,0c:8b:fd:c0:e6:03,1460739953.72
2,ac:f2:c5:bd:b8:28,0c:8b:fd:c0:e6:03,10.251.25.1,10.251.25.93,0c:8b:fd:c0:e6:03,ac:f2:c5:bd:b8:28,1460739953.73
